User;Note;Noteur;Feedback
joseph_c;;francois_h;
howard_s;17;david_a;0
francois_h;7;mathieu_c;0
laurent_g;10;mathieu_c;4
didier_f;;adam_e;
clark_k;8;dexter_m;4
nicolas_s;14;michel_r;0
lois_l;;melissa_v;
dexter_m;16;dexter_m;2
adam_e;16;steve_j;3
david_a;11;laurent_g;2
adam_e;;howard_s;
marcel_j;16;leo_g;4
nicolas_s;13;bertrand_y;2
maelle_m;1;howard_s;2
bruce_w;14;roxane_e;0
clark_k;19;moulinette;0
melissa_v;;bruce_w;
dexter_m;6;sandra_n;3
leo_g;;mathieu_c;
marie_c;20;john_w;1
maelle_m;7;nicolas_s;3
lois_l;18;mathieu_c;0
david_a;4;lois_l;1
adam_e;;ludovic_k;
ludovic_k;2;michel_r;4
lois_l;6;clark_k;5
georges_b;2;didier_f;3
georges_b;3;david_a;1
bertrand_y;0;laurent_g;2
nicolas_s;14;john_w;5
sandra_n;6;maelle_m;4
joseph_c;13;jean_t;3
olivier_z;14;sandra_n;5
ludovic_k;;melissa_v;
nicolas_s;;jean_t;
dexter_m;18;bruce_w;0
laurent_g;5;francois_h;1
david_a;18;leo_g;0
howard_s;;howard_s;
john_w;19;michel_r;3
maelle_m;12;jean_t;2
trevor_r;;melissa_v;
roxane_e;12;dexter_m;5
georges_b;17;mathieu_c;5
roxane_e;3;roxane_e;5
adam_e;15;hans_z;3
olivier_z;7;georges_b;2
marcel_j;;lois_l;
trevor_r;;leo_g;
john_w;1;didier_f;0
trevor_r;;olivier_z;
david_a;;david_a;
jean_t;11;francois_h;5
david_a;;didier_f;
lois_l;17;dexter_m;3
leo_g;;hans_z;
marcel_j;;ludovic_k;
mathieu_c;9;nicolas_s;3
marie_c;;howard_s;
john_w;0;jean_t;4
howard_s;14;sandra_n;4
jean_t;11;trevor_r;2
maelle_m;;steve_j;
clark_k;12;lois_l;2
jean_t;;laurent_g;
laurent_g;17;marie_c;4
maelle_m;;marie_c;
clark_k;20;michel_r;4
leo_g;18;georges_b;3
olivier_z;1;clark_k;0
michel_r;3;moulinette;2
hans_z;20;olivier_z;1
mathieu_c;;michel_r;
marie_c;;francois_h;
jean_t;19;moulinette;5
dexter_m;14;david_a;3
dexter_m;;georges_b;
hans_z;13;ludovic_k;5
laurent_g;9;david_a;2
lois_l;7;olivier_z;1
adam_e;;david_a;
jean_t;13;david_a;0
trevor_r;;lois_l;
adam_e;;marcel_j;
marie_c;12;jean_t;1
marie_c;9;ludovic_k;5
david_a;;john_w;
lois_l;17;roxane_e;0
adam_e;;nicolas_s;
maelle_m;2;david_a;3
marcel_j;;olivier_z;
steve_j;2;nicolas_s;1
laurent_g;7;maelle_m;4
steve_j;17;john_w;0
steve_j;;maelle_m;
michel_r;4;marie_c;1
bertrand_y;13;john_w;3
dexter_m;;olivier_z;
ludovic_k;5;david_a;3
john_w;2;leo_g;2
michel_r;8;michel_r;0
ludovic_k;;adam_e;
michel_r;4;steve_j;1
nicolas_s;;trevor_r;
olivier_z;19;lois_l;5
roxane_e;;nicolas_s;
nicolas_s;5;steve_j;3
melissa_v;;hans_z;
adam_e;;bertrand_y;
bruce_w;14;bruce_w;0
olivier_z;16;laurent_g;3
steve_j;19;georges_b;4
laurent_g;;roxane_e;
joseph_c;0;didier_f;2
sandra_n;9;olivier_z;0
clark_k;18;olivier_z;4
mathieu_c;1;marie_c;1
lois_l;;howard_s;
marie_c;;olivier_z;
clark_k;20;leo_g;3
marcel_j;;bruce_w;
roxane_e;13;lois_l;0
hans_z;15;sandra_n;0
steve_j;4;roxane_e;3
david_a;;nicolas_s;
clark_k;;bruce_w;
bertrand_y;;steve_j;
lois_l;10;maelle_m;2
john_w;8;francois_h;2
melissa_v;16;moulinette;5
francois_h;16;sandra_n;3
david_a;9;marcel_j;5
howard_s;2;olivier_z;0
michel_r;6;clark_k;3
nicolas_s;;leo_g;
bertrand_y;17;ludovic_k;2
marie_c;;adam_e;
roxane_e;17;jean_t;4
bertrand_y;;joseph_c;
nicolas_s;;marie_c;
ludovic_k;13;sandra_n;1
bruce_w;;jean_t;
david_a;12;moulinette;5
david_a;;sandra_n;
marcel_j;13;howard_s;3
georges_b;3;roxane_e;2
francois_h;16;hans_z;4
hans_z;6;david_a;5
bruce_w;19;trevor_r;4
olivier_z;3;michel_r;5
georges_b;;nicolas_s;
joseph_c;9;adam_e;1
trevor_r;14;howard_s;2
marcel_j;11;laurent_g;2
michel_r;5;nicolas_s;5
dexter_m;8;leo_g;4
olivier_z;;joseph_c;
howard_s;6;didier_f;0
maelle_m;20;roxane_e;3
howard_s;;mathieu_c;
nicolas_s;20;laurent_g;0
hans_z;1;nicolas_s;3
joseph_c;2;steve_j;2
marie_c;11;dexter_m;4
hans_z;;maelle_m;
bruce_w;;ludovic_k;
trevor_r;16;john_w;0
melissa_v;10;clark_k;3
marcel_j;18;francois_h;2
francois_h;12;leo_g;5
bertrand_y;;adam_e;
olivier_z;4;jean_t;2
michel_r;14;roxane_e;4
mathieu_c;9;trevor_r;3
trevor_r;;steve_j;
bertrand_y;8;melissa_v;0
david_a;6;maelle_m;5
leo_g;18;david_a;3
howard_s;;roxane_e;
sandra_n;3;bertrand_y;5
hans_z;;marcel_j;
jean_t;11;howard_s;3
clark_k;10;melissa_v;5
trevor_r;0;bruce_w;0
leo_g;15;ludovic_k;3
lois_l;7;nicolas_s;4
bruce_w;17;clark_k;1
laurent_g;11;sandra_n;5
dexter_m;11;clark_k;5
roxane_e;19;steve_j;3
francois_h;8;melissa_v;4
melissa_v;1;adam_e;5
clark_k;7;sandra_n;5
georges_b;;howard_s;
laurent_g;16;didier_f;2
bruce_w;5;michel_r;2
howard_s;12;ludovic_k;5
maelle_m;15;didier_f;5
maelle_m;14;lois_l;3
howard_s;13;marcel_j;2
hans_z;8;clark_k;1
hans_z;17;bruce_w;1
leo_g;;john_w;
olivier_z;;marcel_j;
ludovic_k;;steve_j;
sandra_n;3;joseph_c;2
marie_c;;georges_b;
bertrand_y;3;trevor_r;5
howard_s;20;steve_j;2
georges_b;;john_w;
georges_b;8;francois_h;0
trevor_r;;jean_t;
nicolas_s;;dexter_m;
mathieu_c;;ludovic_k;
didier_f;20;hans_z;0
marie_c;4;sandra_n;0
jean_t;13;olivier_z;3
nicolas_s;4;howard_s;3
john_w;17;steve_j;2
adam_e;17;bruce_w;4
trevor_r;;mathieu_c;
clark_k;;marie_c;
clark_k;0;adam_e;5
georges_b;;michel_r;
howard_s;6;john_w;4
bertrand_y;13;dexter_m;2
lois_l;2;john_w;2
olivier_z;9;hans_z;0
mathieu_c;;melissa_v;
laurent_g;14;laurent_g;1
leo_g;;olivier_z;
hans_z;;dexter_m;
nicolas_s;;marcel_j;
adam_e;;trevor_r;
marie_c;17;hans_z;1
didier_f;17;marie_c;2
joseph_c;;leo_g;
bertrand_y;1;jean_t;4
bertrand_y;12;lois_l;3
maelle_m;4;georges_b;3
didier_f;16;clark_k;0
marcel_j;2;john_w;3
mathieu_c;0;roxane_e;0
roxane_e;2;marcel_j;3
francois_h;5;clark_k;5
adam_e;4;lois_l;5
jean_t;;marie_c;
lois_l;4;moulinette;0
trevor_r;7;trevor_r;5
john_w;10;roxane_e;0
ludovic_k;0;maelle_m;3
david_a;1;francois_h;4
roxane_e;9;georges_b;5
francois_h;8;howard_s;3
marcel_j;11;maelle_m;0
roxane_e;;joseph_c;
bruce_w;13;lois_l;4
david_a;1;olivier_z;4
laurent_g;10;olivier_z;0
mathieu_c;;olivier_z;
maelle_m;;melissa_v;
ludovic_k;7;leo_g;3
sandra_n;16;roxane_e;5
ludovic_k;13;joseph_c;3
maelle_m;;adam_e;
clark_k;3;joseph_c;2
hans_z;1;laurent_g;1
marcel_j;12;david_a;1
francois_h;13;bruce_w;3
roxane_e;;leo_g;
dexter_m;14;melissa_v;1
steve_j;;leo_g;
bertrand_y;4;michel_r;0
michel_r;9;hans_z;0
bertrand_y;4;didier_f;1
marcel_j;16;melissa_v;5
mathieu_c;13;hans_z;4
michel_r;;sandra_n;
trevor_r;11;moulinette;2
john_w;;clark_k;
joseph_c;0;joseph_c;4
roxane_e;;maelle_m;
sandra_n;;marcel_j;
leo_g;19;lois_l;2
leo_g;;dexter_m;
nicolas_s;15;clark_k;4
roxane_e;19;olivier_z;3
sandra_n;8;hans_z;0
clark_k;11;david_a;4
bertrand_y;11;bertrand_y;2
ludovic_k;5;olivier_z;4
ludovic_k;10;marie_c;2
nicolas_s;;olivier_z;
john_w;18;dexter_m;0
clark_k;10;howard_s;1
sandra_n;20;dexter_m;4
melissa_v;3;ludovic_k;5
ludovic_k;;clark_k;
olivier_z;16;marie_c;4
jean_t;4;dexter_m;2
marie_c;18;marie_c;2
bertrand_y;;hans_z;
steve_j;;marie_c;
hans_z;16;jean_t;2
georges_b;;marie_c;
mathieu_c;11;steve_j;2
francois_h;6;ludovic_k;0
steve_j;;marcel_j;
ludovic_k;1;ludovic_k;0
bertrand_y;0;georges_b;1
georges_b;;bertrand_y;
john_w;;georges_b;
roxane_e;9;sandra_n;2
didier_f;1;georges_b;1
mathieu_c;9;georges_b;0
olivier_z;1;francois_h;0
clark_k;15;laurent_g;3
marcel_j;20;michel_r;3
lois_l;10;marie_c;1
didier_f;1;moulinette;4
mathieu_c;;didier_f;
maelle_m;;maelle_m;
adam_e;14;dexter_m;1
ludovic_k;0;trevor_r;5
howard_s;0;laurent_g;4
mathieu_c;;dexter_m;
sandra_n;17;didier_f;5
laurent_g;4;leo_g;5
leo_g;6;moulinette;3
lois_l;20;joseph_c;3
hans_z;4;moulinette;1
mathieu_c;8;moulinette;1
sandra_n;;melissa_v;
steve_j;13;bruce_w;4
mathieu_c;;joseph_c;
howard_s;0;moulinette;1
howard_s;18;hans_z;0
marcel_j;;mathieu_c;
sandra_n;8;michel_r;4
maelle_m;14;sandra_n;5
clark_k;;trevor_r;
trevor_r;14;bertrand_y;4
ludovic_k;19;roxane_e;5
nicolas_s;8;adam_e;5
steve_j;3;howard_s;1
marcel_j;2;sandra_n;4
michel_r;;marcel_j;
jean_t;;john_w;
howard_s;19;michel_r;4
didier_f;2;ludovic_k;5
joseph_c;;maelle_m;
dexter_m;9;roxane_e;3
francois_h;1;jean_t;5
francois_h;18;adam_e;1
georges_b;8;jean_t;0
trevor_r;14;dexter_m;4
mathieu_c;20;sandra_n;3
john_w;16;marcel_j;0
ludovic_k;17;marcel_j;2
joseph_c;0;trevor_r;2
francois_h;4;georges_b;0
marie_c;;lois_l;
trevor_r;3;maelle_m;0
hans_z;9;francois_h;4
georges_b;;marcel_j;
adam_e;8;john_w;3
steve_j;;lois_l;
john_w;;nicolas_s;
jean_t;7;bruce_w;0
jean_t;1;marcel_j;5
dexter_m;17;marie_c;5
nicolas_s;;hans_z;
francois_h;13;michel_r;3
david_a;4;adam_e;0
didier_f;;bruce_w;
bruce_w;;nicolas_s;
adam_e;;joseph_c;
clark_k;;bertrand_y;
trevor_r;7;joseph_c;3
maelle_m;13;francois_h;5
bruce_w;9;marcel_j;3
mathieu_c;;adam_e;
adam_e;;michel_r;
dexter_m;20;maelle_m;0
michel_r;19;lois_l;4
jean_t;3;melissa_v;3
francois_h;;marcel_j;
didier_f;12;nicolas_s;1
francois_h;15;didier_f;4
didier_f;7;melissa_v;1
melissa_v;7;joseph_c;4
roxane_e;19;adam_e;3
lois_l;20;hans_z;4
clark_k;15;steve_j;1
adam_e;4;olivier_z;1
trevor_r;;laurent_g;
jean_t;;bertrand_y;
jean_t;3;adam_e;1
bruce_w;;joseph_c;
melissa_v;;steve_j;
joseph_c;11;michel_r;2
francois_h;13;nicolas_s;4
mathieu_c;;lois_l;
maelle_m;12;leo_g;0
leo_g;;michel_r;
laurent_g;6;jean_t;0
georges_b;;olivier_z;
hans_z;9;bertrand_y;1
hans_z;14;marie_c;0
john_w;15;joseph_c;5
howard_s;17;dexter_m;0
adam_e;12;clark_k;1
joseph_c;4;howard_s;5
laurent_g;4;steve_j;1
michel_r;12;trevor_r;0
bruce_w;;francois_h;
michel_r;13;dexter_m;1
bertrand_y;;olivier_z;
laurent_g;;georges_b;
georges_b;;leo_g;
joseph_c;9;bertrand_y;0
john_w;20;david_a;5
leo_g;16;didier_f;4
david_a;;mathieu_c;
leo_g;14;trevor_r;3
steve_j;10;trevor_r;5
roxane_e;;trevor_r;
bruce_w;13;moulinette;1
didier_f;18;mathieu_c;0
trevor_r;;marcel_j;
